"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Properties", "HTML", "YAML", "Python", "Shell Script", "Markdown", "pip requirements", "reStructuredText", "C++", "C", "PowerShell", "comment", "blank", "total"
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 52
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/App.css", "CSS", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 82
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/App.jsx", "JavaScript JSX", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 237
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/Logo.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Calendar/Calendar.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/DJKhaled/DJKhaled.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/Ladder/Ladder.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 137
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/Match/DoublesMatch.jsx", "JavaScript JSX", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 231
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/Match/Match.jsx", "JavaScript JSX", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 216
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/Match/app.code-workspace", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/PlayersList/PlayerList.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/RoundRobin/RoundRobin.jsx", "JavaScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 112
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/RoundRobin/RoundRobinTester.jsx", "JavaScript JSX", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 147
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/RoundRobin/roundRobinTemplates.js", "JavaScript", 636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 638
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/DeprecatedFeatures/Tournament/SingleElim.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/EmbeddedApps/EmbeddedApps.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Event/AdminView/Brackets.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 153
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Event/AdminView/CreateBracket.jsx", "JavaScript JSX", 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 359
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Event/AdminView/CreateEvent.jsx", "JavaScript JSX", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 279
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Event/AdminView/Event.jsx", "JavaScript JSX", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 26, 259
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Event/AdminView/UpdateAndViewBracket.jsx", "JavaScript JSX", 0, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35, 455
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/src/components/Event/PlayerView/BracketPlayerView.jsx", "JavaScript JSX", 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32, 349
